image_id,symsums,area,perimeter,meanblue,scaledsym
ISIC_0001769,10498.127162525838,216160.0,2013.0,67.78621391561806,0.048566465407688
ISIC_0001852,14789.927388292068,130493.0,1372.0,33.08742231384059,0.1133388564006657
ISIC_0001871,6448.479617395671,205116.0,1720.0,102.53870492794321,0.03143820870822204
ISIC_0003462,2983.104430577514,161705.0,1344.0,87.55343372190099,0.018447818129170488
ISIC_0003539,3176.948693659797,317040.0,2063.0,63.168234292202875,0.010020655733219141
ISIC_0003582,41859.40146383643,1074487.0,3566.0,47.256592215634065,0.0389575690202268
ISIC_0003657,14718.35613088467,340261.0,2342.0,71.04781035734334,0.043256077337351824
ISIC_0003805,14071.956448174024,136235.0,1414.0,67.01821117921239,0.10329178587128142
ISIC_0004337,4622.287145274342,208243.0,1514.0,66.95739112479171,0.022196602744266755
ISIC_0006651,5874.663697100303,426141.0,2116.0,77.26672157806924,0.013785727487146984
ISIC_0006671,2626.648727570311,173787.0,1359.0,109.06170772267201,0.01511418418851992
ISIC_0006815,6241.573137304222,147851.0,1739.0,106.6809828814144,0.04221529199872995
ISIC_0006914,59236.45998915471,696672.0,2905.0,103.29560682789031,0.08502776053746197
ISIC_0007141,15062.852446309407,1003497.0,3312.0,87.58756727723153,0.015010361213147033
ISIC_0007156,5080.15866097511,384761.0,2019.0,87.61321963504618,0.013203413706106155
ISIC_0007235,3668.7282738359645,728319.0,2788.0,62.32918130654287,0.005037254656044899
ISIC_0007241,6754.039282670419,346920.0,1970.0,91.79558111380145,0.019468578584891098
ISIC_0007332,5805.375802188239,530766.0,2387.0,90.58720603806574,0.010937731132341255
ISIC_0007344,11856.272736062529,522771.0,2625.0,56.92055221119764,0.022679668030672184
ISIC_0007528,2296.4286554461287,165858.0,1297.0,92.05187570090077,0.013845751519047189
ISIC_0007796,4679.735198487004,280691.0,1763.0,90.75878457093387,0.01667219539809614
ISIC_0008025,4268.344147722586,629078.0,2636.0,82.86399937686582,0.006785079350609282
ISIC_0008524,21485.340205288085,323767.0,2245.0,93.79954102796147,0.06636050062325093
ISIC_0009995,5663.39805225539,725199.0,3024.0,114.54197951183055,0.007809439963727736
ISIC_0010459,31558.653567552683,534984.0,2438.0,121.0343935519567,0.058989901693420145
ISIC_0012099,11230.256484194877,88455.0,1353.0,63.37970719574925,0.12696010948159941
ISIC_0012109,18987.719106410048,129415.0,1662.0,55.86883282463393,0.1467196160136773
ISIC_0012126,3488.9560900618962,75301.0,1262.0,51.98650748330036,0.04633346290304108
ISIC_0012127,9184.758929497664,106564.0,1103.0,52.760575804211555,0.08619007290921572
ISIC_0012143,240064.75280995178,1124326.0,5267.0,81.97865654623303,0.2135188128798514
ISIC_0012151,1159.9985039131716,1558295.0,5920.0,69.64278522359373,0.0007444023781846002
ISIC_0012159,49724.228310416045,328058.0,2862.0,117.31383170049199,0.15157145477450953
ISIC_0012160,15184.548036641121,109831.0,1708.0,112.74178510620862,0.13825375382761806
ISIC_0012191,2513.391871245636,221207.0,1599.0,39.208619076249846,0.011362171501108175
ISIC_0012201,15911.380779211933,361298.0,2860.0,35.087467962734365,0.04403949310323316
ISIC_0012204,20983.321664529358,171424.0,1427.0,80.87850592682472,0.12240597386905776
ISIC_0012206,72007.4342335508,630098.0,3828.0,60.02925100539916,0.11427973780832631
ISIC_0012210,85917.98525145254,791881.0,4846.0,115.02669593032286,0.10849860680007797
ISIC_0012221,1374.8940301845432,195511.0,1929.0,52.36737063387738,0.007032310356882954
ISIC_0012222,25034.712010905147,194086.0,1947.0,72.26170872705914,0.12898772714624004
ISIC_0012254,280132.12649679463,3797888.0,8369.0,133.6109000581376,0.07375997567511065
ISIC_0012256,176976.7847723735,1071587.0,3560.0,110.51021428964704,0.16515391169580584
ISIC_0012288,2987.463085096795,361677.0,2885.0,72.88600602194776,0.008260030593863573
ISIC_0012306,250.40612977254204,157552.0,1815.0,55.162739920788056,0.00158935544945505
ISIC_0012313,1639.9349214365066,165307.0,1818.0,63.73179599170029,0.009920541304581818
ISIC_0012316,6111.923178049969,109056.0,1522.0,75.0096922681925,0.056043896512342
ISIC_0012335,1651.921474118426,169693.0,1922.0,163.04234116905235,0.009734764982164414
ISIC_0012380,55537.86581021716,550653.0,2388.0,137.98888955476497,0.10085819165648269
ISIC_0012383,59435.85138921812,1194775.0,4988.0,108.05036262057709,0.04974648062540488
ISIC_0012400,314553.67565941904,1669033.0,4627.0,94.5610733880037,0.1884646233234568
ISIC_0012417,1173456.6933708293,5936063.0,12146.0,136.3068744384957,0.19768265487930795
ISIC_0012434,13714.962827669195,225711.0,2110.0,90.10439012719806,0.06076337807049366
ISIC_0012492,29740.957850227715,466837.0,2269.0,83.50379254429276,0.063707370774441
ISIC_0012513,39402.169551718514,1756168.0,6504.0,168.71967089708957,0.022436446599481664
ISIC_0012538,37732.038051041134,273727.0,2556.0,56.464616205197146,0.13784551049418264
ISIC_0012547,61142.0368263073,572681.0,3467.0,99.2655876482719,0.10676456321461215
ISIC_0012660,13122.07079090568,211341.0,2271.0,93.75716022920304,0.06208956516201627
ISIC_0012684,10942.407887514448,859388.0,4322.0,45.95867058883764,0.012732791111249456
ISIC_0012720,135920.2212184698,980396.0,4861.0,70.75464098180736,0.13863808218155704
ISIC_0012746,22260.650573355757,125176.0,1717.0,54.99856202466927,0.17783481316990282
ISIC_0012876,3792.8596472805802,111545.0,1123.0,107.76569097673584,0.03400295528513676
ISIC_0012927,335490.1761985235,2175381.0,7712.0,85.67918999016725,0.15422134154822695
ISIC_0012956,12758.439001893159,196131.0,1959.0,90.425205602378,0.06505059884410501
